Body;Emotion
And each imagined pinnacle and steep;Sadness
Of godlike hardship tells me I must die;Sadness
Like a sick eagle looking at the sky.;Sadness
Yet ‘tis a gentle luxury to weep,;Sadness
That I have not the cloudy winds to keep,;Sadness
Fresh for the opening of the morning’s eye.;Sadness
Such dim  conceived glories of the brain;Sadness
"Bring round the heart an indescribable feud;";Sadness
So do these wonders a most dizzy pain,;Sadness
That mingles Grecian grandeur with the rude;Sadness
Wasting of old Time—with a billowy main—;Sadness
A sun—a shadow of a magnitude.;Sadness
;
;
The Banks O ’ Doon — Second Version;
;
Ye flowery banks o ’ bonie Doon ,;Beauty / Joy
How can ye blume sae fair ?;Beauty / Joy
How can ye chant , ye little birds ,;Beauty / Joy
And I sae fu ’ o care !;Sadness
"Thou ""ll break my heart , thou bonie bird ,";Sadness
That sings upon the bough !;Sadness
Thou minds me o ’ the happy days;Sadness     Nostalgia
When my fause Luve was true .;Sadness     Nostalgia
"Thou ""ll break my heart , thou bonie bird ,";Sadness
"That sings beside thy mate ;";Sadness
For sae I sat , and sae I sang ,;Sadness
And wist na o ’ my fate .;Sadness
;
"Aft hae I rov ""d by bonie Doon ,";Nostalgia     Beauty / Joy
"To see the woodbine twine ;";Nostalgia     Beauty / Joy
And ilka bird sang o ’ its Luve ,;Nostalgia     Beauty / Joy
And sae did I o ’ mine .;Nostalgia     Beauty / Joy
"Wi ’ lightsome heart I pu ""d a rose ,";Nostalgia     Beauty / Joy
"Upon its thorny tree ;";Nostalgia     Beauty / Joy
But my fause Luver staw my rose ,;Sadness     Beauty / Joy
And left the thorn wi ’ me .;Sadness     Beauty / Joy
"Wi ’ lightsome heart I pu ""d a rose ,";Sadness     Beauty / Joy
"Upon a morn in June ;";Sadness     Beauty / Joy
And sae I flourished on the morn ,;Sadness     Beauty / Joy
"And sae was pu ""d or noon .";Sadness     Beauty / Joy
;
;
"A Man ""s A Man For A ’ That";
;
Is there for honest Poverty;Sadness
"That hings his head , an ’ a ’ that ;";Sadness
The coward slave — we pass him by ,;Sadness
We dare be poor for a ’ that !;Sadness
For a ’ that , an ’ a ’ that .;Sadness
Our toils obscure an ’ a ’ that ,;Sadness
"The rank is but the guinea ""s stamp ,";Sadness
"The Man ""s the gowd for a ’ that .";Sadness
;
What though on hamely fare we dine ,;Sadness
"Wear hoddin grey , an ’ a that ;";Sadness
"Gie fools their silks , and knaves their wine ;";Sadness
"A Man ""s a Man for a ’ that :";Sadness
For a ’ that , and a ’ that ,;Sadness
"Their tinsel show , an ’ a ’ that ;";Sadness
"The honest man , tho ’ e""er sae poor ,";Sadness
Is king o ’ men for a ’ that .;Sadness
;
"Ye see yon birkie , ca ""d a lord ,";Humor
"Wha struts , an ’ stares , an ’ a ’ that ;";Humor
Tho ’ hundreds worship at his word ,;Humor
"He ""s but a coof for a ’ that :";Humor
For a ’ that , an ’ a ’ that ,;Humor
His ribband , star , an ’ a ’ that :;Humor
The man o ’ independent mind;Humor
He looks an ’ laughs at a ’ that .;Humor
;
A prince can mak a belted knight ,;Beauty / Joy
"A marquis , duke , an ’ a ’ that ;";Beauty / Joy
"But an honest man ""s abon his might ,";Beauty / Joy
Gude faith , he maunna fa ’ that !;Beauty / Joy
For a ’ that , an ’ a ’ that ,;Beauty / Joy
"Their dignities an ’ a ’ that ;";Beauty / Joy
The pith o ’ sense , an ’ pride o ’ worth ,;Beauty / Joy
Are higher rank than a ’ that .;Beauty / Joy
;
Then let us pray that come it may ,;Beauty / Joy
( As come it will for a ’ that ,);Beauty / Joy
"That Sense and Worth , o""er a ’ the earth ,";Beauty / Joy
Shall bear the gree , an ’ a ’ that .;Beauty / Joy
For a ’ that , an ’ a ’ that ,;Beauty / Joy
"It ""s coming yet for a ’ that ,";Beauty / Joy
"That Man to Man , the world o""er ,";Beauty / Joy
Shall brothers be for a ’ that .;Beauty / Joy
;
;
Morning at the Window;
;
They are rattling breakfast plates in basement kitchens ,;Uneasiness
And along the trampled edges of the street;Uneasiness
I am aware of the damp souls of housemaids;Uneasiness
Sprouting despondently at area gates .;Uneasiness
;
The brown waves of fog toss up to me;Uneasiness
Twisted faces from the bottom of the street ,;Uneasiness
And tear from a passer  by with muddy skirts;Uneasiness
An aimless smile that hovers in the air;Sadness     Uneasiness
And vanishes along the level of the roofs .;Sadness     Uneasiness
;
;
Preludes;
;
The winter evening settles down;Beauty / Joy
With smell of steaks in passageways .;Beauty / Joy
"Six o""clock .";Beauty / Joy
The burnt  out ends of smoky days .;Beauty / Joy
And now a gusty shower wraps;Beauty / Joy
The grimy scraps;Beauty / Joy
Of withered leaves about your feet;Beauty / Joy
"And newspapers from vacant lots ;";Beauty / Joy
The showers beat;Beauty / Joy
On broken blinds and chimney  pots ,;Beauty / Joy
And at the corner of the street;Beauty / Joy
A lonely cab  horse steams and stamps .;Sadness     Beauty / Joy
And then the lighting of the lamps .;Beauty / Joy
;
The morning comes to consciousness;Beauty / Joy
Of faint stale smells of beer;Beauty / Joy
From the sawdust  trampled street;Beauty / Joy
With all its muddy feet that press;Beauty / Joy
To early coffee  stands .;Beauty / Joy
With the other masquerades;Beauty / Joy
That time resumes ,;Beauty / Joy
One thinks of all the hands;Beauty / Joy
That are raising dingy shades;Beauty / Joy
In a thousand furnished rooms .;Beauty / Joy
;
You tossed a blanket from the bed ,;Uneasiness
"You lay upon your back , and waited ;";Uneasiness
You dozed , and watched the night revealing;Uneasiness
The thousand sordid images;Uneasiness
"Of which your soul was constituted ;";Uneasiness
They flickered against the ceiling .;Sadness     Uneasiness
And when all the world came back;Sadness     Uneasiness
And the light crept up between the shutters ,;Sadness     Uneasiness
And you heard the sparrows in the gutters ,;Sadness     Uneasiness
You had such a vision of the street;Sadness     Uneasiness
"As the street hardly understands ;";Sadness     Uneasiness
"Sitting along the bed ""s edge , where";Sadness     Uneasiness
You curled the papers from your hair ,;Sadness     Uneasiness
Or clasped the yellow soles of feet;Uneasiness
In the palms of both soiled hands .;Uneasiness
;
His soul stretched tight across the skies;Vitality
That fade behind a city block ,;Vitality
Or trampled by insistent feet;Vitality
"At four and five and six o""clock";Vitality
And short square fingers stuffing pipes ,;Vitality
And evening newspapers , and eyes;Vitality
Assured of certain certainties ,;Vitality
The conscience of a blackened street;Vitality
Impatient to assume the world .;Vitality
I am moved by fancies that are curled;Vitality
Around these images , and cling :;Vitality
The notion of some infinitely gentle;Awe / Sublime
Infinitely suffering thing .;Awe / Sublime
"Wipe your hand across your mouth , and laugh ;";Beauty / Joy
The worlds revolve like ancient women;Beauty / Joy
Gathering fuel in vacant lots .;Beauty / Joy
;
;
Death;
;
Nor dread nor hope attend;Sadness
"A dying animal;";Sadness
A man awaits his end;Sadness
"Dreading and hoping all;";Sadness
Many times he died,;Sadness
Many times rose again,;Sadness
A great man in his pride;Uneasiness
Confronting murderous men;Uneasiness
Casts derision upon;Uneasiness
"Supersession of breath;";Uneasiness
He knows death to the bone –;Uneasiness
Man has created death.;Uneasiness
;
;
The Second Coming;
;
Turning and turning in the widening gyre;Uneasiness
"The falcon cannot hear the falconer;";Uneasiness
"Things fall apart; the centre cannot hold;";Uneasiness
Mere anarchy is loosed upon the world,;Uneasiness
The blood  dimmed tide is loosed, and everywhere;Uneasiness
"The ceremony of innocence is drowned;";Uneasiness
The best lack all conviction, while the worst;Uneasiness
Are full of passionate intensity.;Uneasiness
;
"Surely some revelation is at hand;";Suspense
Surely the Second Coming is at hand.;Suspense
The Second Coming! Hardly are those words out;Suspense
When a vast image out of Spiritus Mundi;Suspense
Troubles my sight: somewhere in sands of the desert;Suspense     Uneasiness
A shape with lion body and the head of a man,;Suspense     Uneasiness
A gaze blank and pitiless as the sun,;Suspense     Uneasiness
Is moving its slow thighs, while all about it;Suspense     Uneasiness
Reel shadows of the indignant desert birds.;Suspense     Uneasiness
"The darkness drops again; but now I know";Suspense     Uneasiness
That twenty centuries of stony sleep;Suspense     Uneasiness
Were vexed to nightmare by a rocking cradle,;Suspense     Uneasiness
And what rough beast, its hour come round at last,;Suspense     Uneasiness
Slouches towards Bethlehem to be born?;Suspense     Uneasiness
;
;
An Invective against Gold .;
;
Of all the Poisons that the fruitful Earth;Annoyance
"E""er yet brought forth , or Monsters she gave Birth ,";Annoyance
"Nought to Mankind has e""er so fatal been ,";Annoyance
As thou , accursed Gold , their Care and Sin .;Annoyance
;
"Methinks I the Advent""rous Merchant see ,";Sadness
Ploughing the faithless Seas , in search of thee ,;Sadness
His dearest Wife and Children left behind ,;Sadness
( His real Wealth ) while he , a Slave to th ’ Wind ,;Sadness
"Sometimes becalm ""d , the Shore with longing Eyes";Sadness
Wishes to see , and what he wishes , Spies :;Sadness
For a rude Tempest wakes him from his Dream ,;Sadness
And Strands his Bark by a more sad Extream .;Sadness
Thus , hopless Wretch , is his whole Life  time spent ,;Sadness
"And though thrice Wreck""t , ‘ s no Wiser than he went .";Sadness
;
"Again , I see , the Heavenly Fair despis ""d ,";Annoyance     Sadness
"A Hagg like Hell , with Gold , more highly priz ""d ;";Annoyance     Sadness
"Mens Faith betray ""d , their Prince and Country Sold ,";Annoyance     Sadness
"Their God deny ""d , all for the Idol Gold .";Annoyance     Sadness
;
Unhappy Wretch , who first found out the Oar ,;Annoyance
What kind of Vengeance rests for thee in store ?;Annoyance
If Nebats Son , that Israel led astray ,;Annoyance
Meet a severe Reward at the last Day ?;Annoyance
Some strange unheard  of Judgement thou wilt find ,;Annoyance
"Who thus hast caus ""d to Sin all Humane Kind .";Annoyance
;
;
Love , the Soul of Poetry .;
;
When first Alexis did in Verse delight ,;Beauty / Joy
"His Muse in Low , but Graceful Numbers walk""t ,";Beauty / Joy
"And now and then a little Proudly stalk""t ;";Beauty / Joy
"But never aim ""d at any noble Flight :";Beauty / Joy
The Herds , the Groves , the gentle purling Streams ,;Beauty / Joy
"Adorn ""d his Song , and were his highest Theams .";Beauty / Joy
;
But Love these Thoughts , like Mists , did soon disperse ,;Beauty / Joy
"Enlarg ""d his Fancy , and set free his Muse ,";Beauty / Joy
"Biding him more Illustrious Subjects choose ;";Beauty / Joy
The Acts of Gods , and God  like Men reherse .;Beauty / Joy
From thence new Raptures did his Breast inspire ,;Beauty / Joy
His scarce Warm  Heart converted was to Fire .;Beauty / Joy
;
"Th ’ exalted Poet rais ""d by this new Flame ,";Awe / Sublime     Beauty / Joy
With Vigor flys , where late he crept along ,;Awe / Sublime     Beauty / Joy
And Acts Divine , in a Diviner Song ,;Awe / Sublime     Beauty / Joy
Commits to the eternal Trompe of Fame .;Awe / Sublime     Beauty / Joy
And thus Alexis does prove Love to be ,;Awe / Sublime     Beauty / Joy
As the Worlds Soul , the Soul of Poetry .;Awe / Sublime     Beauty / Joy
;
;
SUCCESS;
;
Success is counted sweetest;Beauty / Joy
"By those who ne""er succeed .";Beauty / Joy
To comprehend a nectar;Beauty / Joy
Requires sorest need .;Beauty / Joy
;
Not one of all the purple host;Sadness
Who took the flag to  day;Sadness
Can tell the definition ,;Sadness
So clear , of victory ,;Sadness
;
As he , defeated , dying ,;Sadness
On whose forbidden ear;Sadness
The distant strains of triumph;Sadness
Break , agonized and clear !;Sadness
;
;
I felt a funeral in my brain;
;
I felt a funeral in my brain ,;Sadness
And mourners , to and fro ,;Sadness
Kept treading , treading , till it seemed;Sadness     Awe / Sublime
That sense was breaking through .;Sadness     Awe / Sublime
;
And when they all were seated ,;Sadness
A service like a drum;Sadness
Kept beating , beating , till I thought;Sadness
My mind was going numb .;Sadness
;
And then I heard them lift a box ,;Sadness
And creak across my soul;Sadness
With those same boots of lead , again .;Sadness
Then space began to toll;Sadness
;
As all the heavens were a bell ,;Awe / Sublime
And Being but an ear ,;Awe / Sublime
And I and silence some strange race ,;Awe / Sublime     Sadness
Wrecked , solitary , here .;Awe / Sublime     Sadness
;
And then a Plank in Reason, broke,;Awe / Sublime
And I dropped down, and down   ;Awe / Sublime
And hit a World, at every plunge,;Awe / Sublime
And Finished knowing    then   ;Awe / Sublime
;
;
On His Blindness;
;
WHEN I consider how my light is spent;Suspense
Ere half my days in this dark world and wide,;Suspense
And that one Talent which is death to hide;Sadness
Lodged with me useless, though my soul more bent;Sadness
;
To serve therewith my Maker, and present;Vitality
My true account, lest He returning chide,;Vitality
“Doth God exact day  labour, light denied?”;Vitality
I fondly ask. But Patience, to prevent;Vitality
;
That murmur, soon replies, “God doth not need;Awe / Sublime
Either man’s work or his own gifts. Who best;Awe / Sublime
Bear his mild yoke, they serve him best. His state;Awe / Sublime
;
Is kingly: thousands at his bidding speed,;Beauty / Joy
"And post o’er land and ocean without rest;";Beauty / Joy
They also serve who only stand and wait.”;Beauty / Joy
;
;
On His Being Arrived to the Age of Twenty  Three”;
;
HOW soon hath Time, the subtle thief of youth,;Sadness
Stolen on his wing my three and twentieth year!;Sadness
My hasting days fly on with full career,;Vitality
But my late spring no bud or blossom shew’th.;Vitality
Perhaps my semblance might deceive the truth,;Vitality
That I to manhood am arrived so near,;Vitality
And inward ripeness doth much less appear,;Vitality
That some more timely  happy spirits indu’th.;Vitality
Yet be it less or more, or soon or slow,;Vitality
It shall be still in strictest measure even;Vitality
To that same lot, however mean or high,;Vitality     Awe / Sublime
Toward which Time leads me, and the will of Heaven,;Vitality     Awe / Sublime
All is, if I have grace to use it so,;Vitality     Awe / Sublime
As ever in my great Task  master’s eye;Vitality     Awe / Sublime
;
;
Mowing;
;
THERE was never a sound beside the wood but one ,;Beauty / Joy     Suspense
And that was my long scythe whispering to the ground .;Beauty / Joy     Suspense
"What was it it whispered ? I knew not well myself ;";Beauty / Joy     Suspense
Perhaps it was something about the heat of the sun ,;Beauty / Joy     Suspense
Something , perhaps , about the lack of sound —;Beauty / Joy     Suspense
And that was why it whispered and did not speak .;Beauty / Joy
It was no dream of the gift of idle hours ,;Beauty / Joy
Or easy gold at the hand of fay or elf :;Beauty / Joy
Anything more than the truth would have seemed too weak;Beauty / Joy
To the earnest love that laid the swale in rows ,;Beauty / Joy
Not without feeble  pointed spikes of flowers;Beauty / Joy
( Pale orchises ) , and scared a bright green snake .;Beauty / Joy
The fact is the sweetest dream that labor knows .;Beauty / Joy
My long scythe whispered and left the hay to make .;Beauty / Joy
;
;
Fire and Ice;
;
Some say the world will end in fire,;Awe / Sublime
Some say in ice.;Awe / Sublime
From what I’ve tasted of desire;Humor
I hold with those who favor fire.;Humor
But if it had to perish twice,;Humor
I think I know enough of hate;Humor
To say that for destruction ice;Humor
Is also great;Humor
And would suffice.;Humor
;
;
I Hear America Singing;
;
I hear America singing , the varied carols I hear ,;Beauty / Joy     Vitality
Those of mechanics , each one singing his as it should be blithe and strong ,;Beauty / Joy     Vitality
The carpenter singing his as he measures his plank or beam ,;Beauty / Joy     Vitality
The mason singing his as he makes ready for work , or leaves off work ,;Beauty / Joy     Vitality
The boatman singing what belongs to him in his boat , the deckhand;Beauty / Joy     Vitality
singing on the steamboat deck ,;Beauty / Joy     Vitality
The shoemaker singing as he sits on his bench , the hatter singing as;Beauty / Joy     Vitality
he stands ,;Beauty / Joy     Vitality
"The wood  cutter ""s song , the ploughboy ""s on his way in the morning ,";Beauty / Joy     Vitality
or at noon intermission or at sundown ,;Beauty / Joy     Vitality
The delicious singing of the mother , or of the young wife at work ,;Beauty / Joy     Vitality
or of the girl sewing or washing ,;Beauty / Joy     Vitality
Each singing what belongs to him or her and to none else ,;Beauty / Joy     Vitality
The day what belongs to the day — at night the party of young;Beauty / Joy     Vitality
fellows , robust , friendly ,;Beauty / Joy     Vitality
Singing with open mouths their strong melodious songs .;Beauty / Joy     Vitality
;
;
O Captain! My Captain!;
;
O Captain! my Captain! our fearful trip is done,;Beauty / Joy
The ship has weather’d every rack, the prize we sought is won,;Beauty / Joy
The port is near, the bells I hear, the people all exulting,;Beauty / Joy
"While follow eyes the steady keel, the vessel grim and daring;";Beauty / Joy
But O heart! heart! heart!;Sadness
O the bleeding drops of red,;Sadness
Where on the deck my Captain lies,;Sadness
Fallen cold and dead.;Sadness
;
"O Captain! my Captain! rise up and hear the bells;";Vitality
Rise up—for you the flag is flung—for you the bugle trills,;Vitality
For you bouquets and ribbon’d wreaths—for you the shores a  crowding,;Vitality
"For you they call, the swaying mass, their eager faces turning;";Vitality
Here Captain! dear father!;Vitality
This arm beneath your head!;Vitality
It is some dream that on the deck,;Sadness
You’ve fallen cold and dead.;Sadness
;
My Captain does not answer, his lips are pale and still,;Sadness
My father does not feel my arm, he has no pulse nor will,;Sadness
The ship is anchor’d safe and sound, its voyage closed and done,;Vitality
"From fearful trip the victor ship comes in with object won;";Vitality
Exult O shores, and ring O bells!;Vitality
But I with mournful tread,;Sadness
Walk the deck my Captain lies,;Sadness
Fallen cold and dead.;Sadness
;
;
DANSE RUSSE;
;
If I when my wife is sleeping;Suspense
and the baby and Kathleen;Suspense
are sleeping;Suspense
and the sun is a flame  white disc;Suspense
in silken mists above shining trees ,—;Suspense
if I in my north room;Suspense     Humor
danse naked , grotesquely;Suspense     Humor
before my mirror;Suspense     Humor
waving my shirt round my head;Suspense     Humor
and singing softly to myself :;Suspense     Humor
“I am lonely, lonely.;Humor
I was born to be lonely .;Humor
I am best so !”;Humor
If I admire my arms , my face,;Humor
my shoulders , flanks , buttocks;Humor
against the yellow drawn shades ,—;Humor
;
who shall say I am not;Humor
the happy genius of my household ?;Humor
;
;
To Waken an Old Lady;
;
OLD age is;Beauty / Joy
a flight of small;Beauty / Joy
cheeping birds;Beauty / Joy
skimming;Beauty / Joy
bare trees above a snow glaze.;Beauty / Joy
Gaining and failing;Suspense     Beauty / Joy
they are buffeted;Suspense     Beauty / Joy
by a dark wind ;Suspense     Beauty / Joy
But what?;Suspense     Beauty / Joy
On harsh weedstalks;Beauty / Joy
the flock has rested,;Beauty / Joy
the snow;Beauty / Joy
is covered with broken;Beauty / Joy
seedhusks;Beauty / Joy
and the wind tempered;Beauty / Joy
by a shrill;Beauty / Joy
piping of plenty.;Beauty / Joy
;
;
My Love Is Like To Ice;
;
My love is like to ice, and I to fire:;Beauty / Joy
How comes it then that this her cold so great;Sadness
Is not dissolved through my so hot desire,;Sadness
But harder grows the more I her entreat?;Sadness
Or how comes it that my exceeding heat;Sadness
Is not allayed by her heart  frozen cold,;Sadness
But that I burn much more in boiling sweat,;Sadness
And feel my flames augmented manifold?;Sadness
What more miraculous thing may be told,;Beauty / Joy
That fire, which all things melts, should harden ice,;Beauty / Joy
"And ice, which is congeal""s with senseless cold,";Beauty / Joy
Should kindle fire by wonderful device?;Beauty / Joy
Such is the power of love in gentle mind,;Awe / Sublime
That it can alter all the course of kind.;Awe / Sublime
;
;
Sonnet 54;
;
Of this worlds theatre in which we stay,;Beauty / Joy
My love like the spectator ydly sits;Beauty / Joy
Beholding me that all the pageants play,;Beauty / Joy
Disguysing diversly my troubled wits.;Beauty / Joy
Sometimes I joy when glad occasion fits,;Beauty / Joy
And mask in myrth lyke to a comedy:;Beauty / Joy
Soone after when my joy to sorrow flits,;Sadness
I waile and make my woes a tragedy.;Sadness
Yet she, beholding me with constant eye,;Sadness
Delights not in my merth nor rues my smart:;Sadness
But when I laugh she mocks, and when I cry;Sadness
She laughs and hardens evermore her heart.;Sadness
What then can move her? if nor merth nor mone,;Sadness
She is no woman, but a senceless stone.;Sadness
;
;
ODE ON SOLITUDE;
;
Happy the man whose wish and care;Beauty / Joy
A few paternal acres bound ,;Beauty / Joy
Content to breathe his native air ,;Beauty / Joy
In his own ground .;Beauty / Joy
;
Whose herds with milk , whose fields with bread ,;Beauty / Joy
Whose flocks supply him with attire ,;Beauty / Joy
Whose trees in summer yield him shade ,;Beauty / Joy
In winter fire .;Beauty / Joy
;
"Blest , who can unconcern""dly find";Beauty / Joy
Hours , days , and years slide soft away ,;Beauty / Joy
In health of body , peace of mind ,;Beauty / Joy
Quiet by day ,;Beauty / Joy
;
"Sound sleep by night ; study and ease ,";Beauty / Joy
"Together mixt ; sweet recreation ;";Beauty / Joy
And Innocence , which most does please;Beauty / Joy
With meditation .;Beauty / Joy
;
Thus let me live , unseen , unknown ,;Awe / Sublime
Thus unlamented let me die ,;Awe / Sublime
Steal from the world , and not a stone;Awe / Sublime
Tell where I lie .;Awe / Sublime
;
;
dying is fine)but Death;
;
?o;Suspense
baby;Suspense
i;Suspense
;
"wouldn""t like";Suspense
;
Death if Death;Humor
were;Humor
good:for;Humor
;
when(instead of stopping to think)you;Humor
;
begin to feel of it,dying;Humor
"s miraculous	Humor	Suspense     Humor
why?be	Humor	Suspense     Humor

cause dying is	Humor	Suspense     Humor

perfectly natural;perfectly	Humor	Suspense     Humor
putting	Humor	Suspense     Humor
it mildly lively(but	Humor	Suspense     Humor

Death	Humor	Suspense     Humor

is strictly	Humor	Suspense     Humor
scientific	Humor	Suspense     Humor
&amp; artificial &amp;	Humor	Suspense     Humor

evil &amp; legal)	Humor	Suspense     Humor

we thank thee	Humor	Suspense     Humor
god	Humor	Suspense     Humor
almighty for dying	Humor	Suspense     Humor
(forgive us,o life!the sin of Death	Humor	Suspense     Humor


[i carry your heart with me(i carry it in]		

i carry your heart with me(i carry it in	Beauty / Joy	Beauty / Joy
my heart)i am never without it(anywhere	Beauty / Joy	Beauty / Joy
i go you go,my dear;and whatever is done	Beauty / Joy	Beauty / Joy
by only me is your doing,my darling)	Beauty / Joy	Beauty / Joy
                                 i fear	Beauty / Joy	Beauty / Joy

no fate(for you are my fate,my sweet)i want	Beauty / Joy	Beauty / Joy
no world(for beautiful you are my world,my true)	Beauty / Joy	Beauty / Joy
and it’s you are whatever a moon has always meant	Beauty / Joy	Beauty / Joy
and whatever a sun will always sing is you	Beauty / Joy	Beauty / Joy

here is the deepest secret nobody knows	Beauty / Joy	Beauty / Joy
(here is the root of the root and the bud of the bud	Beauty / Joy	Beauty / Joy
and the sky of the sky of a tree called life;which grows	Beauty / Joy	Beauty / Joy
higher than soul can hope or mind can hide)	Beauty / Joy	Beauty / Joy
and this is the wonder thats keeping the stars apart";Beauty / Joy
;
i carry your heart(i carry it in my heart);Beauty / Joy
;
;
THE DESCENT OF DULLNESS;
;
In vain , in vain — the all  composing Hour;Suspense
"Resistless falls : the Muse obeys the Pow""r .";Suspense
She comes ! she comes ! the sable Throne behold;Suspense
Of Night primæval and of Chaos old !;Suspense
"Before her , Fancy ""s gilded clouds decay ,";Sadness
And all its varying Rain  bows die away .;Sadness
Wit shoots in vain its momentary fires ,;Sadness
The meteor drops , and in a flash expires .;Sadness
"As one by one , at dread Medea ""s strain ,";Uneasiness
"The sick""ning stars fade off th ’ ethereal plain ;";Uneasiness
As Argus ’ eyes by Hermes ’ wand opprest ,;Uneasiness
"Clos ""d one by one to everlasting rest ;";Uneasiness
Thus at her felt approach , and secret might ,;Uneasiness
Art after Art goes out , and all is Night .;Uneasiness
See skulking Truth to her old cavern fled ,;Uneasiness
"Mountains of Casuistry heap ""d o""er her head !";Uneasiness
"Philosophy , that lean ""d on Heav""n before ,";Uneasiness
Shrinks to her second cause , and is no more .;Uneasiness
Physic of Metaphysic begs defence ,;Uneasiness
And Metaphysic calls for aid on Sense !;Uneasiness
See Mystery to Mathematics fly !;Uneasiness
In vain ! they gaze , turn giddy , rave , and die .;Sadness     Uneasiness
Religion blushing veils her sacred fires ,;Sadness     Uneasiness
And unawares Morality expires .;Sadness     Uneasiness
"For public Flame , nor private , dares to shine ;";Sadness     Uneasiness
Nor human Spark is left , nor Glimpse divine !;Sadness     Uneasiness
"Lo ! thy dread Empire , CHAOS ! is restor ""d ;";Sadness     Uneasiness
"Light dies before thy uncreating word ;";Sadness     Uneasiness
Thy hand , great Anarch ! lets the curtain fall ,;Sadness     Uneasiness
And universal Darkness buries All .;Sadness     Uneasiness
;
;
"I ""m nobody ! Who are you ?";
;
"I ""m nobody ! Who are you ?";Humor
Are you nobody , too ?;Humor
Then there ‘ s a pair of us;Humor
"— do n""t tell ! They ‘ d banish us , you know .";Humor
;
How dreary to be somebody !;Humor     Sadness
How public , like a frog;Humor     Sadness
To tell your name the livelong day;Humor     Sadness
To an admiring bog !;Humor     Sadness
;
;
The Flea;
;
Marke but this flea , and marke in this ,;Humor     Beauty / Joy
"How little that which thou deny""st me is ;";Humor     Beauty / Joy
"It suck ""d me first , and now sucks thee ,";Humor     Beauty / Joy
"And in this flea , our two bloods mingled bee ;";Humor     Beauty / Joy
"Thou know""st that this cannot be said";Humor     Beauty / Joy
A sinne , nor shame , nor losse of maidenhead ,;Humor     Beauty / Joy
Yet this enjoyes before it wooe ,;Humor     Beauty / Joy
"And pamper ""d swells with one blood made of two ,";Humor     Beauty / Joy
And this , alas , is more then wee would doe .;Humor     Beauty / Joy
;
Oh stay , three lives in one flea spare ,;Beauty / Joy
Where wee almost , yea more then maryed are .;Beauty / Joy
This flea is you and I , and this;Beauty / Joy
"Our mariage bed , and mariage temple is ;";Beauty / Joy
"Though parents grudge , and you , w""are met ,";Beauty / Joy
And cloysterd in these living walls of Jet .;Beauty / Joy
Though use make you apt to kill mee ,;Humor
Let not to that , selfe murder added bee ,;Humor
And sacrilege , three sinnes in killing three .;Humor
;
Cruell and sodaine , hast thou since;Sadness
Purpled thy naile , in blood of innocence ?;Sadness
Wherein could this flea guilty bee ,;Sadness
Except in that drop which it suckt from thee ?;Sadness
"Yet thou triumph""st , and saist that thou";Sadness
"Find""st not thy selfe , nor mee the weaker now ;";Sadness
"‘ Tis true , then learne how false , feares bee ; 25";Sadness
"Just so much honor , when thou yeeld""st to mee ,";Sadness
"Will wast , as this flea ""s death tooke life from thee .";Sadness
;
;
Song on May Morning;
;
NOW the bright morning  star, Day’s harbinger,;Beauty / Joy     Vitality
Comes dancing from the East, and leads with her;Beauty / Joy     Vitality
The flowery May, who from her green lap throws;Beauty / Joy     Vitality
The yellow cowslip and the pale primrose.;Beauty / Joy     Vitality
Hail, bounteous May, that dost inspire;Beauty / Joy     Vitality
Mirth, and youth, and warm desire!;Beauty / Joy     Vitality
"Woods and groves are of thy dressing;";Beauty / Joy     Vitality
Hill and dale doth boast thy blessing.;Beauty / Joy     Vitality
Thus we salute thee with our early song,;Beauty / Joy     Vitality
And welcome thee, and wish thee long.;Beauty / Joy     Vitality
;
;
OZYMANDIAS;
;
I met a traveller from an antique land;Suspense
Who said : Two vast and trunkless legs of stone;Suspense
Stand in the desert ... Near them , on the sand ,;Uneasiness     Suspense
Half sunk , a shattered visage lies , whose frown ,;Uneasiness     Suspense
And wrinkled lip , and sneer of cold command ,;Uneasiness     Suspense
Tell that its sculptor well those passions read;Uneasiness     Suspense
Which yet survive , stamped on these lifeless things ,;Uneasiness     Suspense
The hand that mocked them , and the heart that fed :;Uneasiness     Suspense
And on the pedestal these words appear :;Uneasiness     Suspense
‘ My name is Ozymandias , king of kings :;Uneasiness
Look on my works , ye Mighty , and despair ! ’;Uneasiness
Nothing beside remains . Round the decay;Sadness
Of that colossal wreck , boundless and bare;Sadness
The lone and level sands stretch far away .;Sadness
;
;
Desert Places;
;
Snow falling and night falling fast, oh, fast;Beauty / Joy
In a field I looked into going past,;Beauty / Joy
And the ground almost covered smooth in snow,;Beauty / Joy
But a few weeds and stubble showing last.;Beauty / Joy
;
The woods around it have it it is theirs.;Beauty / Joy
All animals are smothered in their lairs.;Beauty / Joy
"I am too absent  spirited to count;";Sadness
The loneliness includes me unawares.;Sadness
;
And lonely as it is that loneliness;Sadness     Uneasiness
Will be more lonely ere it will be less ;Sadness     Uneasiness
A blanker whiteness of benighted snow;Sadness     Uneasiness
With no expression, nothing to express.;Sadness     Uneasiness
;
They cannot scare me with their empty spaces;Sadness     Awe / Sublime
Between stars on stars where no human race is.;Sadness     Awe / Sublime
I have it in me so much nearer home;Sadness     Awe / Sublime
To scare myself with my own desert places.;Sadness     Awe / Sublime
;
;
If—;
;
If you can keep your head when all about you;Beauty / Joy     Vitality
